<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
11.09.2018;104470;104470;104460;104460
11.09.2018;104540;104540;104540;104540
11.09.2018;104550;104550;104550;104550
11.09.2018;104520;104520;104520;104520
11.09.2018;104480;104480;104480;104480
11.09.2018;104440;104440;104440;104440
11.09.2018;104380;104420;104370;104380
11.09.2018;104360;104360;104340;104350
11.09.2018;104360;104360;104350;104350
11.09.2018;104370;104370;104370;104370
11.09.2018;104370;104370;104370;104370
11.09.2018;104390;104420;104390;104420
11.09.2018;104450;104450;104400;104400
11.09.2018;104400;104400;104400;104400
11.09.2018;104430;104430;104430;104430
11.09.2018;104400;104400;104400;104400
11.09.2018;104420;104420;104420;104420
11.09.2018;104470;104470;104470;104470
11.09.2018;104500;104500;104500;104500
11.09.2018;104490;104490;104490;104490
11.09.2018;104530;104540;104500;104500
11.09.2018;104540;104540;104540;104540
11.09.2018;104540;104540;104540;104540
11.09.2018;104530;104570;104530;104570
11.09.2018;104580;104590;104570;104570
11.09.2018;104570;104600;104570;104600
11.09.2018;104640;104640;104590;104590
11.09.2018;104630;104630;104630;104630
11.09.2018;104630;104650;104630;104650
11.09.2018;104630;104630;104630;104630
11.09.2018;104650;104650;104650;104650
11.09.2018;104630;104630;104630;104630
11.09.2018;104610;104610;104600;104600
11.09.2018;104600;104600;104590;104590
11.09.2018;104580;104580;104580;104580
11.09.2018;104580;104580;104580;104580
11.09.2018;104590;104590;104590;104590
11.09.2018;104680;104720;104680;104720
11.09.2018;104750;104750;104740;104740
11.09.2018;104760;104760;104760;104760
11.09.2018;104750;104800;104750;104800
11.09.2018;104780;104780;104780;104780
11.09.2018;104810;104930;104810;104830
11.09.2018;104850;104850;104850;104850
11.09.2018;104850;104860;104850;104860
11.09.2018;104870;104930;104870;104900
11.09.2018;104850;104850;104850;104850
11.09.2018;104880;104880;104880;104880
11.09.2018;104880;104890;104880;104890
11.09.2018;104880;104880;104880;104880
11.09.2018;104920;104940;104920;104920
11.09.2018;104880;104880;104880;104880
11.09.2018;104930;104930;104930;104930
11.09.2018;104930;104930;104930;104930
11.09.2018;104920;104920;104920;104920
11.09.2018;104920;104920;104920;104920
11.09.2018;104920;104920;104920;104920
11.09.2018;104900;104900;104900;104900
